stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000519,2015-07-01,有色金属,,
000519,2017-06-29,国防军工,地面兵装Ⅱ,地面兵装Ⅲ
000520,1993-10-25,基础化工,,
000520,2006-09-01,交通运输,,
000520,2021-07-30,交通运输,航运港口,航运
000521,1993-10-18,家用电器,,
000521,2021-07-30,家用电器,白色家电,冰洗
000522,1993-11-08,医药生物,化学制药,化学制剂
000523,1993-11-08,基础化工,,
000523,2021-07-30,美容护理,个护用品,洗护用品
000524,1993-11-18,社会服务,,
000524,2018-07-13,社会服务,,
000524,2021-07-30,社会服务,旅游及景区,旅游综合
000525,1993-10-28,基础化工,,
000525,2021-07-30,基础化工,农化制品,农药
000526,1992-09-21,农林牧渔,渔业,海洋捕捞
000526,2000-05-01,房地产,房地产开发,住宅开发
000526,2009-10-09,轻工制造,,
000526,2012-01-02,房地产,房地产开发,住宅开发
000526,2017-06-29,传媒,,
000526,2021-07-30,社会服务,教育,培训教育
000527,1993-11-12,家用电器,白色家电,空调
000528,1993-11-18,,,
000528,2014-01-01,机械设备,,
000528,2021-07-30,机械设备,工程机械,工程机械整机
000529,1993-11-18,纺织服饰,,
000529,2011-01-10,综合,综合Ⅱ,综合Ⅲ
000529,2019-07-24,传媒,,
000529,2021-07-30,传媒,出版,教育出版
000529,2023-05-18,食品饮料,,
000530,1993-12-08,,,
000530,2014-01-01,机械设备,通用设备,制冷空调设备
000531,1994-01-06,公用事业,,
000531,2017-06-29,公用事业,电力,火力发电
000532,1994-01-03,公用事业,,
000532,2007-07-02,电子,,
000532,2011-10-10,电子,元件,被动元件
000532,2021-07-30,非银金融,多元金融,资产管理
000533,1994-01-03,家用电器,,
000533,2007-07-02,,,
000533,2012-01-02,家用电器,,
000533,2019-07-24,电力设备,,
000533,2021-07-30,电力设备,电网设备,输变电设备
000534,1994-01-10,公用事业,,
000534,2010-01-08,房地产,房地产开发,住宅开发
000534,2020-07-22,医药生物,,
000534,2021-07-30,医药生物,生物制品,其他生物制品
000535,1993-11-30,钢铁,,
000536,1993-11-26,,,
000536,2011-01-10,电子,光学光电子,面板
000537,1993-12-10,,,
000537,2007-07-02,房地产,房地产开发,住宅开发
000537,2022-08-26,公用事业,电力,风力发电
000538,1993-12-15,医药生物,中药Ⅱ,中药Ⅲ
000539,1993-11-26,公用事业,电力,火力发电
000540,1993-12-06,,,
000540,2001-05-01,房地产,房地产开发,住宅开发
000541,1993-11-23,电子,其他电子Ⅱ,其他电子Ⅲ
000541,2017-06-29,电子,光学光电子,LED
000541,2021-07-30,家用电器,照明设备Ⅱ,照明设备Ⅲ
000542,1993-12-01,,,
000543,1993-12-20,公用事业,电力,火力发电
000544,1993-12-08,,,
000544,2006-09-01,公用事业,,
000544,2021-07-30,环保,环境治理,水务及水治理
000545,1993-12-15,医药生物,化学制药,原料药
000545,2014-01-01,基础化工,化学原料,其他化学原料
000545,2021-07-30,基础化工,化学原料,钛白粉
000546,1993-11-10,,,
000546,2002-05-01,房地产,房地产开发,住宅开发
000546,2014-01-01,综合,综合Ⅱ,综合Ⅲ
000546,2015-07-01,建筑材料,水泥,水泥制造
000547,1993-11-30,,,
000547,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000547,2014-07-01,通信,,
000547,2017-06-29,国防军工,地面兵装Ⅱ,地面兵装Ⅲ
000547,2021-07-30,国防军工,军工电子Ⅱ,军工电子Ⅲ
000548,1993-12-20,交通运输,,
000548,2021-07-30,交通运输,铁路公路,高速公路
000549,1993-12-20,,,
000550,1993-12-01,,,
000550,2014-01-01,汽车,,
000550,2021-07-30,汽车,商用车,商用载货车
000551,1994-01-06,公用事业,,
000551,2011-01-10,综合,综合Ⅱ,综合Ⅲ
000551,2015-07-01,机械设备,,
000551,2021-07-30,环保,环保设备Ⅱ,环保设备Ⅲ
000552,1994-01-06,家用电器,,
000552,2006-09-01,,,
000552,2021-07-30,煤炭,煤炭开采,动力煤
000553,1993-12-03,基础化工,,
000553,2021-07-30,基础化工,农化制品,农药
000554,1993-12-15,基础化工,,
000554,2021-07-30,石油石化,炼化及贸易,油品石化贸易
000555,1993-12-06,基础化工,化学纤维,涤纶
000555,2001-05-01,,,
000555,2007-07-02,家用电器,黑色家电,其他黑色家电
000555,2009-06-01,电子,,
000555,2010-06-01,,,
000555,2014-01-01,通信,,
000555,2014-07-01,计算机,,
000555,2021-07-30,计算机,IT服务Ⅱ,IT服务Ⅲ
000556,1994-05-25,综合,综合Ⅱ,综合Ⅲ
000557,1994-06-17,农林牧渔,,
000557,2007-07-02,食品饮料,,
000557,2018-07-13,交通运输,,
000557,2021-07-30,交通运输,铁路公路,铁路运输
000558,1994-05-09,房地产,房地产开发,住宅开发
000559,1994-01-10,,,
000559,2014-01-01,汽车,,
000559,2021-07-30,汽车,汽车零部件,底盘与发动机系统
000560,1994-02-02,商贸零售,,
000560,2010-06-01,商贸零售,,
000560,2011-10-10,商贸零售,,
000560,2013-07-01,商贸零售,,
000560,2014-01-01,商贸零售,,
